@relation reordered_features_2017_format

@attribute 'Destination Port' numeric
@attribute 'Flow Duration' numeric
@attribute 'Total Length of Fwd Packets' numeric
@attribute 'FIN Flag Count' numeric
@attribute 'SYN Flag Count' numeric
@attribute 'RST Flag Count' numeric
@attribute Label {DoS}

@data
443,13026725,58,0,1,0,DoS
554,52,58,0,1,0,DoS
256,11,58,0,1,0,DoS
21,9,58,0,1,0,DoS
139,63,58,0,1,0,DoS
80,10,58,0,1,0,DoS
23,8,58,0,1,0,DoS
993,8,58,0,1,0,DoS
25,8,58,0,1,0,DoS
199,9,58,0,1,0,DoS
39527,3265,54,0,0,1,DoS
39527,9,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
995,24239,58,0,1,0,DoS
53,9,58,0,1,0,DoS
110,2,58,0,1,0,DoS
22,2,58,0,1,0,DoS
143,2,58,0,1,0,DoS
445,2,58,0,1,0,DoS
113,1,58,0,1,0,DoS
135,2,58,0,1,0,DoS
111,2,58,0,1,0,DoS
587,1,58,0,1,0,DoS
755,2,58,0,1,0,DoS
421,2,58,0,1,0,DoS
176,2,58,0,1,0,DoS
907,1,58,0,1,0,DoS
677,2,58,0,1,0,DoS
499,2,58,0,1,0,DoS
129,1,58,0,1,0,DoS
610,2,58,0,1,0,DoS
777,2,58,0,1,0,DoS
732,11,58,0,1,0,DoS
39527,3513,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,2,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
